,user_id,condition,submitted_at,label_q1,label_q2,label_q3
1,785821174684,2,2021-03-13T14:53:43.689Z,1,1,"[""image"",""cal"",""goals""]"
2,166219211920,2,2021-03-13T14:54:51.221Z,1,1,"[""ingredient"",""image"",""title""]"
3,1420042028051,2,2021-03-13T14:55:08.941Z,1,1,"[""health"",""ingredient"",""title""]"
4,640357108540,2,2021-03-13T14:55:46.134Z,1,1,"[""health"",""cal"",""protein""]"
5,1151081485383,2,2021-03-13T14:55:52.903Z,1,1,"[""goals""]"
6,667385776417,2,2021-03-13T14:56:00.210Z,2,2,"[""ingredient"",""image"",""rating"",""title""]"
7,1296729916711,2,2021-03-13T14:56:34.635Z,1,1,"[""ingredient"",""image""]"
8,1408032386985,2,2021-03-13T14:56:58.037Z,0,0,"[""image"",""salt""]"
9,121630343567,2,2021-03-13T14:56:52.346Z,1,1,"[""health"",""image"",""protein"",""goals""]"
10,276106780979,2,2021-03-13T14:56:51.503Z,2,2,"[""image"",""colours of the health ratings""]"
11,21014254287,2,2021-03-13T14:57:36.104Z,1,1,"[""image"",""title""]"
12,944299431357,2,2021-03-13T15:57:08.016Z,2,2,"[""ingredient"",""image"",""title""]"
13,1118709059216,2,2021-03-13T14:57:56.193Z,1,1,"[""image"",""rating"",""numrating""]"
14,131207765801,2,2021-03-13T14:58:27.497Z,0,0,"[""health"",""title""]"
15,325132882765,2,2021-03-13T14:58:33.102Z,-1,-1,"[""ingredient"",""image"",""title""]"
16,1613553149321,2,2021-03-13T14:58:39.832Z,2,2,"[""image"",""numrating"",""cal""]"
17,1153015779899,2,2021-03-13T14:58:35.287Z,0,0,"[""ingredient"",""goals""]"
18,1473977719540,2,2021-03-13T14:58:50.829Z,1,1,"[""health"",""ingredient"",""cal"",""protein"",""title"",""goals""]"
19,126212388200,2,2021-03-13T14:58:16.969Z,1,1,"[""health"",""image"",""cal"",""title"",""What I enjoy to eat ""]"
20,1466165217286,2,2021-03-13T14:59:15.652Z,1,1,"[""health"",""ingredient"",""image"",""rating"",""sugar"",""goals""]"
21,237335019026,2,2021-03-13T14:59:26.375Z,1,1,"[""health"",""image"",""sugar"",""goals""]"
22,1560542288099,2,2021-03-13T14:59:29.961Z,1,1,"[""ingredient"",""image"",""rating""]"
23,682742567047,2,2021-03-13T14:59:44.288Z,2,2,"[""image"",""rating"",""title""]"
24,71218291765,2,2021-03-13T15:00:00.104Z,1,1,"[""health"",""image"",""cal""]"
25,827258926877,2,2021-03-13T15:00:03.222Z,1,1,"[""ingredient"",""image"",""title""]"
26,1137891257780,2,2021-03-13T14:59:55.705Z,1,1,"[""ingredient"",""image"",""fat""]"
27,941155466199,2,2021-03-13T15:00:26.392Z,1,1,"[""ingredient"",""image"",""title""]"
28,1435413923196,2,2021-03-13T15:00:39.347Z,2,2,"[""goals""]"
29,1344130864786,2,2021-03-13T15:00:59.255Z,1,1,"[""ingredient"",""title""]"
30,1217025807379,2,2021-03-13T15:00:58.673Z,2,2,"[""health"",""cal"",""goals""]"
31,99024887300,2,2021-03-13T15:01:10.302Z,0,0,"[""health"",""image"",""fat"",""title""]"
32,1441759372988,2,2021-03-13T15:01:12.392Z,1,1,"[""cal"",""salt"",""sugar"",""protein""]"
33,762368996145,2,2021-03-13T15:00:53.452Z,1,1,"[""image"",""title"",""The ingredients are the ones I enjoy eating.""]"
34,508125064776,2,2021-03-13T15:01:26.592Z,-1,-1,"[""ingredient"",""image""]"
35,1029820121464,2,2021-03-13T15:01:35.991Z,0,0,"[""image"",""title""]"
36,174453292298,2,2021-03-13T15:01:46.393Z,0,0,"[""image"",""cal"",""protein"",""goals""]"
37,1481671785384,2,2021-03-13T15:01:33.829Z,1,1,"[""health"",""image"",""rating"",""goals""]"
38,25549469722,2,2021-03-13T15:01:54.926Z,1,1,"[""image""]"
39,70458744175,2,2021-03-13T15:02:28.811Z,1,1,"[""ingredient"",""image""]"
40,682239697185,2,2021-03-13T15:02:18.515Z,2,2,"[""ingredient"",""image"",""cal"",""sugar"",""title""]"
41,250419060952,2,2021-03-13T15:02:46.778Z,1,1,"[""image"",""title""]"
42,69336885642,2,2021-03-13T15:01:40.805Z,1,1,"[""image""]"
43,1295951389258,2,2021-03-13T15:02:53.165Z,1,1,"[""ingredient""]"
44,825007041359,2,2021-03-13T15:02:35.420Z,0,0,"[""ingredient"",""title""]"
45,1379642552788,2,2021-03-13T15:01:42.866Z,1,1,"[""image"",""cal"",""protein"",""title"",""i chose a lot of the recipes based on if they had an ingredient that i really liked ""]"
46,153294957099,2,2021-03-13T15:03:13.163Z,1,1,"[""health"",""ingredient"",""image"",""rating"",""title""]"
47,763935303044,2,2021-03-13T15:03:14.313Z,1,1,"[""image""]"
48,1090076249248,2,2021-03-13T15:03:19.293Z,1,1,"[""image"",""rating""]"
49,716693777354,2,2021-03-13T15:03:18.592Z,1,1,"[""image"",""rating"",""cal"",""protein"",""goals""]"
50,212570763516,2,2021-03-13T15:03:09.590Z,1,1,"[""ingredient"",""image"",""title""]"
51,419995202353,2,2021-03-13T15:03:18.148Z,-1,-1,"[""image"",""title"",""Probable taste""]"
52,110697776361,2,2021-03-13T15:03:20.748Z,2,2,"[""health"",""rating"",""salt"",""sugar"",""fat"",""protein"",""goals""]"
53,1561889674861,2,2021-03-13T15:03:24.295Z,1,1,"[""image"",""title""]"
54,944154299247,2,2021-03-13T15:03:22.130Z,1,1,"[""image"",""rating"",""numrating"",""cal""]"
55,1015680950925,2,2021-03-13T15:03:35.939Z,-1,-1,"[""ingredient"",""image"",""title""]"
56,608704057044,2,2021-03-13T15:04:04.923Z,1,1,"[""ingredient"",""image"",""title""]"
57,69050340632,2,2021-03-13T15:03:11.435Z,1,1,"[""health"",""image"",""goals"",""Similarity to some recipies i like""]"
58,976735852963,2,2021-03-13T15:05:44.220Z,1,1,"[""health"",""ingredient"",""image"",""cal""]"
59,265331820838,2,2021-03-13T15:03:36.627Z,0,0,"[""ingredient"",""image"",""protein"",""title"",""I really like cheese and eggs""]"
60,447290626531,2,2021-03-13T15:03:56.558Z,1,1,"[""health"",""ingredient"",""image"",""sugar"",""goals""]"
61,1445111337738,2,2021-03-13T15:04:05.598Z,2,2,"[""ingredient"",""image"",""cal"",""fat"",""protein""]"
62,914609158215,2,2021-03-13T15:04:06.887Z,1,1,"[""image"",""salt""]"
63,1111623406653,2,2021-03-13T15:04:16.556Z,1,1,"[""health"",""ingredient"",""image""]"
64,259194004044,2,2021-03-13T15:04:24.623Z,1,1,"[""health"",""ingredient"",""image"",""title""]"
65,1054422607068,2,2021-03-13T15:04:13.849Z,1,1,"[""ingredient"",""image"",""title""]"
66,514476504578,2,2021-03-13T15:04:14.208Z,1,1,"[""image"",""rating"",""cal"",""title""]"
