,Unnamed: 0,user_id,condnum,iso_time,prolific_id,gender,age,nationality,education,experience,eating_habits,goal,restrictions,american,european,other_continent
0,1,933993997418,3,2021-03-13T17:13:44.732Z,5f0c534291111659bbd90545,female,30,British ,4,chigh,healthy,none,vegan,0,European,0
1,2,562832177889,3,2021-03-13T17:14:08.234Z,5eed7950a383181a9932bc1b,female,24,Portuguese,3,cmedium,unhealthy,none,none,0,European,0
2,4,820505425692,3,2021-03-13T17:14:03.390Z,604c87eef498482b449582b2,female,32,Polish,3,cmedium,healthy,"protein,lweight","Flexitarian? At home only vegetarian, but no restriction when with friends or restaurants",0,European,0
3,5,1424506923822,3,2021-03-13T17:14:53.349Z,5cd409b8ab04960017af2686,male,23,Italian,2,cverylow,neutral,none,none,0,European,0
4,6,753666447056,3,2021-03-13T17:14:49.825Z,5faae38a4f9d9c50d85175a9,male,20,Poland,1,cverylow,vunhealthy,gweight,none,0,European,0
5,7,403925073851,3,2021-03-13T17:15:02.340Z,5f407fa7efc14a1c973b17e9,male,19,Portuguese,2,cmedium,neutral,none,none,0,European,0
6,8,1294056584192,3,2021-03-13T17:15:16.868Z,5c83f171fff8430001e997b4,female,20,Portuguese,2,cmedium,unhealthy,none,none,0,European,0
7,9,917355095304,3,2021-03-13T17:15:04.613Z,60253f70e3734903217abed1,female,20,Portuguese,2,cverylow,neutral,lweight,none,0,European,0
8,10,18965959532,3,2021-03-13T17:15:47.223Z,5dfbc27ea1f3618e09042c33,male,25,Polish,4,cmedium,healthy,none,none,0,European,0
9,11,677103265254,3,2021-03-13T17:15:05.620Z,5d51c9574dd16200012c05a5,male,24,Polish,2,chigh,neutral,none,Vegan,0,European,0
10,12,1461632343244,3,2021-03-13T17:15:43.323Z,5f580aa2e492b3363efa4ac2,male,19,Polish,2,clow,healthy,none,none,0,European,0
11,13,718013857611,3,2021-03-13T17:15:51.862Z,5cd30b2041a6b8001874c41f,female,26,greek,3,cmedium,healthy,"fruit,vegetables",none,0,European,0
12,14,976147508378,3,2021-03-13T17:16:15.002Z,5f0521a85c590c824dadb24d,male,26,Mexican,3,cmedium,neutral,lweight,lactose,0,0,Other
13,15,250696342691,3,2021-03-13T17:16:23.859Z,5e84705fb69f7b0009018f61,male,20,Pakistan,3,clow,unhealthy,"protein,gweight",halal,0,0,Other
14,16,45130216051,3,2021-03-13T17:16:29.531Z,5f8f32f0f4f6ea15a9524d22,female,23,Italian,2,chigh,healthy,Eat less animal products ,none,0,European,0
15,17,218684261764,3,2021-03-13T17:16:16.089Z,5e582888ad019803dba551c4,male,20,Polish,2,chigh,neutral,gweight,none,0,European,0
16,18,1111151966087,3,2021-03-13T17:16:03.233Z,601ed87577a1d237eb08d40b,female,20,UK,3,cmedium,neutral,lweight,vegan,0,0,Other
17,19,788308770583,3,2021-03-13T17:17:35.870Z,5c43724ab00b3300018f49bf,female,23,British,3,cmedium,neutral,none,none,0,European,0
18,20,876357358154,3,2021-03-13T17:17:42.214Z,5f23dd005a990d1d4fcfee68,female,22,UK,2,cmedium,neutral,lweight,none,0,0,Other
19,21,581647423953,3,2021-03-13T17:17:22.160Z,6022ab2c61828901ec3e13e6,female,18,Portuguese,2,cmedium,neutral,lweight,none,0,European,0
20,22,508097382186,3,2021-03-13T17:18:25.049Z,5f1ad4dfb7b8a221a6438ba4,female,25,Italian,3,cmedium,healthy,none,gluten,0,European,0
21,23,1133156243271,3,2021-03-13T17:17:42.474Z,5f0c675cbe0f365cc5424893,male,27,Polish,3,chigh,neutral,none,none,0,European,0
22,24,1460791864002,3,2021-03-13T17:18:09.903Z,5ea6a697f5d217022e2f7f45,female,34,British,2,cmedium,neutral,lweight,none,0,European,0
23,25,850621334482,3,2021-03-13T17:18:27.149Z,5e8b96fc978b9e07b099714c,male,22,Spain,3,clow,unhealthy,lweight,none,0,European,0
24,26,82535393477,3,2021-03-13T17:18:47.866Z,5eaf303e1b5acf09306cb758,female,38,Polish,4,chigh,neutral,none,none,0,European,0
25,27,1372703053184,3,2021-03-13T17:19:04.891Z,5af33ed518af790001744108,male,26,Portuguese,4,cmedium,healthy,"salt,fruit,vegetables",none,0,European,0
26,28,535546040324,3,2021-03-13T17:19:23.576Z,5ec015f79264f84145af1bb4,male,23,Latvian,6,cmedium,unhealthy,none,none,0,European,0
