session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Diet Restriction,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
604cb729c5b705ba4806fe0d,5e9d57aa39a763000dfe2c85,RETURNED,2021-03-13 12:59:21.706000,,3390.040642,26,45,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604cb72f3c7594ea4d0f7263,5ef60100939d49285b4c2003,AWAITING REVIEW,2021-03-13 12:59:27.838000,2021-03-13 13:06:10.482000,402.644,21,80,0,100,,5F069648,Poland,Poland,None,Unemployed (and job seeking),Polish,"Polish, English",Poland,Male,Yes
604cb7329a18d3aef5306d0b,5d824ca977546f00016ae679,AWAITING REVIEW,2021-03-13 12:59:30.287000,2021-03-13 13:07:00.136000,449.849,24,129,1,100,,5F069648,Greece,Greece,None,Other,Greek,"Greek, English",Greece,Female,No
604cb745158a2afdbe17063f,5e6ff19e7e1daa5be5a93ca8,AWAITING REVIEW,2021-03-13 12:59:49.417000,2021-03-13 13:03:24.522000,215.105,28,100,0,100,,5F069648,Denmark,Denmark,None,Unemployed (and job seeking),Danish,"Danish, English",Denmark,Male,Yes
604cb76486089de321782c4c,5af276d65847970001e34e6b,AWAITING REVIEW,2021-03-13 13:00:22.352000,2021-03-13 13:06:20.824000,358.472,27,178,1,100,,5F069648,Malaysia,Germany,Dairy/lactose-free,Part-Time,Malay,"Malay, German, English",Malaysia,Male,Yes
604cb76887a75691fa84155b,5ecac14db64f3909cfa8859c,AWAITING REVIEW,2021-03-13 13:00:24.723000,2021-03-13 13:05:46.544000,321.821,25,91,3,98,,5F069648,Poland,Poland,Vegan,Unemployed (and job seeking),Polish,"French, German, Polish, English, Spanish",Poland,Male,Yes
604cb7689622bb7f7a4563b2,5eff3653359bc6470872a43c,AWAITING REVIEW,2021-03-13 13:00:26.882000,2021-03-13 13:05:51.772000,324.89,,146,0,100,,5F069648,United Kingdom,United Kingdom,Other dietary restriction,Unemployed (and job seeking),Bengali,"Bengali, English",United Kingdom,Female,Yes
604cb7764ab4921e16455086,5eaae5edf2e46a05c4973b4a,AWAITING REVIEW,2021-03-13 13:04:44.400000,2021-03-13 13:12:39.370000,474.97,32,79,1,99,,5F069648,United Kingdom,United Kingdom,None,Full-Time,English,English,United Kingdom,Male,No
604cb7859cf66280bc942e90,5f860faa36faeb135bc435d0,AWAITING REVIEW,2021-03-13 13:00:53.222000,2021-03-13 13:07:38.031000,404.809,23,23,0,100,,5F069648,United Kingdom,Poland,None,Part-Time,,"Polish, Russian, Ukrainian, English, Greek, Portuguese, Spanish",Poland,Male,Yes
604cb78bd3374f7080e89927,5cbb779ffb8dfe0015839672,AWAITING REVIEW,2021-03-13 13:00:59.912000,2021-03-13 13:07:54.975000,415.063,20,130,0,100,,5F069648,Greece,Greece,None,Unemployed (and job seeking),Greek,"Greek, English",Greece,Male,Yes
604cb79243f412d2b6e0b236,5ef9f14f182b9b072857418d,AWAITING REVIEW,2021-03-13 13:01:08.874000,2021-03-13 13:06:52.770000,343.896,39,77,0,100,,5F069648,Greece,Greece,Vegetarian,Full-Time,Greek,"English, French, German, Greek, Italian, Macedonian, Portuguese, Spanish",Greece,Female,Yes
604cb79333836673b92c4787,5fce7885f324540ad64e2297,AWAITING REVIEW,2021-03-13 13:01:06.971000,2021-03-13 13:09:46.145000,519.174,27,26,1,99,,5F069648,Greece,,None,Other,,"Greek, German, English",Greece,Male,No
604cb7a40f180d587d2a1541,5cc2df4998766700177a499d,AWAITING REVIEW,2021-03-13 13:01:28.563000,2021-03-13 13:06:22.229000,293.666,51,101,4,95,,5F069648,France,United Kingdom,None,Full-Time,English,English,United Kingdom,Male,No
604cb7a71d6e9fefd2748379,5e9a1b1d4c5f780aea7b2c71,AWAITING REVIEW,2021-03-13 13:01:31.929000,2021-03-13 13:12:49.121000,677.192,32,53,0,100,,5F069648,Mexico,Mexico,None,Full-Time,Spanish,"English, Spanish",Mexico,Female,No
604cb7a9bfa6b350094f0e77,5fb92279d753c635c19d0eb6,AWAITING REVIEW,2021-03-13 13:01:38.386000,2021-03-13 13:06:22.967000,284.581,22,28,0,100,,5F069648,South Africa,South Africa,None,Unemployed (and job seeking),,"Afrikaans, English",South Africa,Female,Yes
604cb7ab8f55ca2bf851dcfc,5bb475b2481b9100010f436a,AWAITING REVIEW,2021-03-13 13:01:38.181000,2021-03-13 13:27:24.111000,1545.93,37,59,1,100,,5F069648,United Kingdom,United Kingdom,None,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
604cb7afa72cb577df216290,5e1ddb3fff2b7f1483078831,AWAITING REVIEW,2021-03-13 13:02:06.140000,2021-03-13 13:06:48.243000,282.103,20,37,0,100,,5F069648,Mexico,Mexico,None,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes
604cb7b72d4a2d381b87cf21,5e7c11c7669042254fbe3e22,AWAITING REVIEW,2021-03-13 13:01:43.379000,2021-03-13 13:08:03.451000,380.072,22,112,1,100,,5F069648,Portugal,Portugal,None,Full-Time,Portuguese,"Portuguese, English, Spanish",Portugal,Female,No
604cb7c225ed13a16233b1f5,5e67444ca2235c4c1ad10d1a,AWAITING REVIEW,2021-03-13 13:02:00.256000,2021-03-13 13:07:10.141000,309.885,40,108,1,100,,5F069648,Greece,Greece,None,Full-Time,Greek,"English, Greek",Greece,Male,No
604cb7c2bbc21533c2fa28b8,5e96d12c9bf3f115b43835a4,AWAITING REVIEW,2021-03-13 13:01:54.088000,2021-03-13 13:07:58.989000,364.901,28,136,0,100,,5F069648,Spain,United Kingdom,None,Full-Time,Basque,"Basque, English, German, Spanish",Spain,Female,Yes
604cb7cea99979bfcfc4c76d,604a3cff1980716fbcb6ba8a,RETURNED,2021-03-13 13:12:06.301000,,2626.15497,21,0,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604cb7d60c5240440f27b0f3,5f3fb86b92000703ec0238a8,AWAITING REVIEW,2021-03-13 13:02:14.881000,2021-03-13 13:05:45.805000,210.924,28,71,1,100,,5F069648,United Kingdom,United Kingdom,None,Unemployed (and job seeking),DATA EXPIRED,English,United Kingdom,Male,Yes
