session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Diet Restriction,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
604cd0dcd08eadaba76cf4f6,5f5d2e274cddcc56953ae1ba,AWAITING REVIEW,2021-03-13 14:49:00.195000,2021-03-13 14:58:10.009000,549.814,26,63,2,97,,42200815,Mexico,Mexico,Dairy/lactose-free,Unemployed (and job seeking),DATA EXPIRED,"Spanish, English, Dutch",Mexico,Male,No
604cd0ebac304be9c9504ce8,5f4ed7f3e9e8ac127c95538a,AWAITING REVIEW,2021-03-13 14:49:15.197000,2021-03-13 14:57:42.518000,507.321,23,84,0,100,,42200815,Portugal,Portugal,None,Other,DATA EXPIRED,"English, Portuguese",Portugal,Male,Yes
604cd0ed64b634e774daea5a,5f3e48bfc67afe0164d3a01c,AWAITING REVIEW,2021-03-13 14:49:20.656000,2021-03-13 14:55:30.620000,369.964,21,4,0,100,,42200815,Poland,Poland,None,Full-Time,,"English, Polish",Poland,Male,Yes
604cd0fa7426727a0a46df8c,5dea61dd63c57917e8e02197,AWAITING REVIEW,2021-03-13 14:50:16.882000,2021-03-13 15:03:04.803000,767.921,23,79,0,100,,42200815,Egypt,Italy,None,Other,Arabic,"English, Arabic",Egypt,Male,Yes
604cd118739d9ff9922917e5,5c1d350915a94b00018d676d,AWAITING REVIEW,2021-03-13 14:50:00.796000,2021-03-13 14:54:09.816000,249.02,26,142,1,100,,42200815,Estonia,Estonia,None,Full-Time,Estonian,"Estonian, English",Estonia,Male,No
604cd1499752d31ccdb7618e,5ea6df209d688606829ac644,AWAITING REVIEW,2021-03-13 14:50:48.952000,2021-03-13 14:55:40.449000,291.497,20,122,0,100,,42200815,Greece,Greece,None,Other,Greek,"Greek, English",Greece,Male,Yes
604cd152eaf099268e4362eb,5e24c30506121f736cefccc0,AWAITING REVIEW,2021-03-13 14:50:58.697000,2021-03-13 15:03:41.746000,763.049,41,106,1,100,,42200815,Poland,Poland,None,Full-Time,Polish,"English, Polish, Spanish",Poland,Female,No
604cd157b66e456e6a17877d,5e94decd66dc680ca9a5e7e8,AWAITING REVIEW,2021-03-13 14:51:06.625000,2021-03-13 14:57:44.825000,398.2,37,137,0,100,,42200815,France,United Kingdom,None,Full-Time,French,"English, French",France,Female,No
604cd162ef9290898f140afd,5efa0ab395da4b7ee7afe803,AWAITING REVIEW,2021-03-13 14:51:29.215000,2021-03-13 14:56:14.387000,285.172,20,77,2,96,,42200815,Poland,Poland,Vegetarian,Other,Polish,"English, German, Polish",Poland,Male,Yes
604cd16911fd528f3067a082,596cd4e524f9f800012ad1c3,AWAITING REVIEW,2021-03-13 14:51:25.670000,2021-03-13 14:56:39.748000,314.078,27,76,3,98,,42200815,Italy,Italy,None,Full-Time,Italian,"English, Albanian, Italian",Italy,Male,No
604cd196ad9c87a771a8033e,5fca96fa32c26270d1a4f964,AWAITING REVIEW,2021-03-13 14:52:06.928000,2021-03-13 15:00:07.313000,480.385,19,11,0,100,,42200815,Poland,Poland,None,Unemployed (and job seeking),,"Polish, German, English",Poland,Male,No
604cd19a9e1deffc5ab33b85,5fbe3505a4e9b80ab57d08b0,AWAITING REVIEW,2021-03-13 14:52:21.142000,2021-03-13 14:56:54.036000,272.894,20,49,1,100,,42200815,Portugal,United Kingdom,None,Part-Time,DATA EXPIRED,"English, Portuguese",Portugal,Female,Yes
604cd1a8207f3129f2b35545,5d302ba6900e6c00017f79d8,AWAITING REVIEW,2021-03-13 14:52:29.117000,2021-03-13 15:00:53.925000,504.808,39,37,2,98,,42200815,Hungary,Hungary,None,Full-Time,Hungarian,"Hungarian, English",Hungary,Male,No
604cd1aeeb4d6a217e6802ee,601ab197583778322c07e37d,AWAITING REVIEW,2021-03-13 14:52:30.326000,2021-03-13 14:58:59.923000,389.597,28,11,0,100,,42200815,Italy,Germany,None,Full-Time,,"Italian, English",Italy,Male,Yes
604cd1b8f9142ed9d6634c1b,5f15db42d62e996fdc5429d8,AWAITING REVIEW,2021-03-13 14:52:40.468000,2021-03-13 15:09:42.107000,1021.639,24,66,1,100,,42200815,Mexico,Mexico,Dairy/lactose-free,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Male,No
604cd1bd6bb69b47fc4cad34,5c477c8d92909000016844e4,AWAITING REVIEW,2021-03-13 14:52:45.363000,2021-03-13 14:56:17.611000,212.248,18,25,0,100,,42200815,Portugal,Portugal,None,Other,Portuguese,"Portuguese, English",Portugal,Male,Yes
604cd1be5b687c7e0c216bb4,5ec3ffd4450ed70bcfbf2c69,AWAITING REVIEW,2021-03-13 14:52:56.405000,2021-03-13 14:59:25.910000,389.505,26,18,0,100,,42200815,United Kingdom,United Kingdom,None,Full-Time,English,English,Ireland,Female,Yes
604cd1beac304be9c9504cee,5ec4492f675098327a7215d4,AWAITING REVIEW,2021-03-13 14:52:46.173000,2021-03-13 14:58:27.571000,341.398,19,66,0,100,,42200815,Poland,Poland,None,Part-Time,Polish,"Polish, English",Poland,Female,Yes
