session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Diet Restriction,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
604cf2bfa3cdf61811508a92,5f0c534291111659bbd90545,APPROVED,2021-03-13 17:13:37.047000,2021-03-13 17:18:31.797000,294.75,30,99,1,100,2021-03-13 18:38:03.507000,866C1F68,United Kingdom,United Kingdom,Vegetarian,Full-Time,English,English,United Kingdom,Female,No
604cf2bfc31a4617e998b704,60256dfe26052e0cca6a699e,REJECTED,2021-03-13 17:13:38.872000,2021-03-13 17:21:40.282000,481.41,20,9,1,94,2021-03-13 18:26:14.096000,NOCODE,Portugal,Portugal,None,Other,,"English, Portuguese",Portugal,Female,Yes
604cf2c8ebe4acd41120013e,604c87eef498482b449582b2,APPROVED,2021-03-13 17:13:56.239000,2021-03-13 17:18:55.028000,298.789,32,1,0,100,2021-03-13 18:38:06.284000,866C1F68,Netherlands,Netherlands,None,Full-Time,,"Dutch, English",Netherlands,Female,No
604cf2d57d2c7cafafb93bcb,60253f70e3734903217abed1,APPROVED,2021-03-13 17:13:57.233000,2021-03-13 17:29:49.714000,952.481,20,12,0,100,2021-03-13 18:38:07.607000,866C1F68,Portugal,Portugal,None,Other,,"Portuguese, English, Spanish",Portugal,Female,Yes
604cf2d9489ee859300c9631,5eed7950a383181a9932bc1b,APPROVED,2021-03-13 17:14:01.607000,2021-03-13 17:20:23.496000,381.889,24,91,2,98,2021-03-13 18:38:09.145000,866C1F68,Portugal,Portugal,None,Other,Portuguese,"English, Portuguese",Portugal,Female,Yes
604cf2f57066b4c8e264962c,5c83f171fff8430001e997b4,APPROVED,2021-03-13 17:14:29.742000,2021-03-13 17:19:39.382000,309.64,20,224,1,100,2021-03-13 18:38:10.793000,866C1F68,Portugal,Portugal,None,Other,Portuguese,"Portuguese, Spanish, German, English",Portugal,Female,Yes
604cf2fb7a75e5b88b752bc2,5f407fa7efc14a1c973b17e9,APPROVED,2021-03-13 17:14:34.949000,2021-03-13 17:18:01.217000,206.268,19,80,4,97,2021-03-13 18:38:13.276000,866C1F68,Portugal,Portugal,None,Other,DATA EXPIRED,"Portuguese, English, French",Portugal,Male,No
604cf2fe30b506dd7b54e4f6,5faae38a4f9d9c50d85175a9,APPROVED,2021-03-13 17:14:38.105000,2021-03-13 17:20:58.138000,380.033,20,31,0,100,2021-03-13 18:38:14.907000,866C1F68,Poland,Poland,None,Other,DATA EXPIRED,"English, Polish",Poland,Male,Yes
604cf3062a753222c2cdf7b4,5cd409b8ab04960017af2686,APPROVED,2021-03-13 17:14:50.107000,2021-03-13 17:20:18.641000,328.534,23,56,0,100,2021-03-13 18:38:16.596000,866C1F68,Italy,Italy,None,Unemployed (and job seeking),Italian,"English, Italian",Italy,Male,Yes
604cf30ccac3e7086a574eaf,5d51c9574dd16200012c05a5,APPROVED,2021-03-13 17:15:00.342000,2021-03-13 17:21:09.045000,368.703,24,82,1,100,2021-03-13 18:38:18.115000,866C1F68,Poland,Poland,None,Unemployed (and job seeking),Polish,"Polish, English",Poland,Male,No
604cf31a91198243bd7657ff,5e582888ad019803dba551c4,APPROVED,2021-03-13 17:15:08.404000,2021-03-13 17:21:57.453000,409.049,20,87,1,100,2021-03-13 18:38:20.056000,866C1F68,Portugal,Portugal,None,Other,Portuguese,"English, Portuguese",Portugal,Male,Yes
604cf337ab4f46bf31be4166,5f580aa2e492b3363efa4ac2,APPROVED,2021-03-13 17:15:36.906000,2021-03-13 17:21:27.955000,351.049,19,11,0,100,2021-03-13 18:38:21.749000,866C1F68,Portugal,Portugal,None,Other,,"English, Portuguese",Portugal,Male,Yes
604cf3396b6cc7ff41198694,5cd30b2041a6b8001874c41f,APPROVED,2021-03-13 17:15:37.425000,2021-03-13 17:20:53.129000,315.704,26,258,1,100,2021-03-13 18:38:23.364000,866C1F68,Greece,Greece,None,Full-Time,Greek,"English, Greek",Greece,Female,No
604cf33f98f9729f43d0465a,5dfbc27ea1f3618e09042c33,APPROVED,2021-03-13 17:15:43.442000,2021-03-13 17:18:38.333000,174.891,25,194,4,99,2021-03-13 18:38:25.804000,866C1F68,France,France,None,Full-Time,French,"French, English",France,Male,No
604cf3447cddf5c261331cd7,601ed87577a1d237eb08d40b,APPROVED,2021-03-13 17:15:51.607000,2021-03-13 17:24:36.806000,525.199,20,12,0,100,2021-03-13 18:38:28.412000,866C1F68,Portugal,Portugal,None,Other,,"Portuguese, English",Portugal,Female,Yes
604cf34f75f1fb1a1c034d73,5e84705fb69f7b0009018f61,APPROVED,2021-03-13 17:15:59.684000,2021-03-13 17:20:58.997000,299.313,20,72,0,100,2021-03-13 18:38:29.720000,866C1F68,Pakistan,Germany,Sugar-free,Unemployed (and job seeking),Urdu,"English, German, Urdu",Pakistan,Male,Yes
604cf3564c71d4fb6df50dfe,5f0521a85c590c824dadb24d,APPROVED,2021-03-13 17:16:05.945000,2021-03-13 17:22:22.285000,376.34,26,91,0,100,2021-03-13 18:38:31.585000,866C1F68,Mexico,Mexico,None,Full-Time,Spanish,"English, Spanish",Mexico,Male,No
604cf35d95a5660b9946a2d0,5f8f32f0f4f6ea15a9524d22,APPROVED,2021-03-13 17:16:19.077000,2021-03-13 17:21:30.828000,311.751,23,41,1,99,2021-03-13 18:38:33.327000,866C1F68,Italy,Italy,None,Unemployed (and job seeking),DATA EXPIRED,"Italian, English",Italy,Female,No
